xpos,ypos,xvel,yvel
39.846,-56.888,329.62,-287.31
70.634,-90.582,276.77,-345.94
74.288,-96.903,145.91,-120.42
68.399,-92.299,11.202,-43.746
2.6988,-18.848,-10.759,-5.0445
-6.5491,-7.617,-14.745,-7.6199
-8.3235,-4.5386,-3.8397,3.4483
-8.0569,1.641,19.266,39.042
-9.3383,5.7289,22.403,7.6727
-13.404,5.5549,-2.1466,-3.6543
-20.622,6.3388,-58.047,-11.986
-18.778,-4.7964,1.6874,-60.019
-17.607,-13.35,10.603,-71.606
-16.978,-18.109,-12.416,-34.181
-14.641,-10.101,14.079,20.699
-7.9304,-5.985,65.513,11.847
-2.9436,-2.8288,34.656,13.437
4.9816,-7.4969,57.117,-22.323
4.4491,-10.465,21.97,25.823
5.6384,10.299,6.6239,185.27
9.8312,57.342,131.99,450.24
19.38,90.063,99.724,257.84
15.709,79.802,-16.096,-78.323
-3.3029,12.539,-2.4377,-28.964
-4.7481,5.0207,-0.60183,34.232
-0.85594,6.6672,37.08,-11.988
-2.5504,-3.2857,-22.773,-98.096
-0.41788,-4.3269,10.597,7.1716
-9.5035,0.59632,-70.209,24.606
-23.792,-0.40082,-80.701,-45.03
-20.425,-1.2828,15.341,-0.42491
-7.5176,4.2482,101.69,52.747
-3.9532,4.7274,-10.03,15.253
-1.2996,0.80706,-20.317,-43.477
-7.7092,-9.2767,-47.916,-13.694
-15.544,-9.4028,-48.109,37.196
-9.1016,-8.3048,37.155,1.8428
-7.2123,-8.2493,2.1965,-40.919
-35.497,-17.739,-283.69,-62.273
-74.327,-41.497,-363.74,-246.66
-84.385,-66.148,-58.696,-208.44
-59.321,-67.946,199.26,-28.796
-4.7247,-8.8304,21.177,40.637
-10.148,2.7938,-61.593,-16.621
-14.148,-2.6869,0.14076,-72.562
-14.585,-7.565,19.87,1.5439
-11.353,-4.9982,21.304,8.3814
-6.0302,-6.1254,-12.506,-7.2085
-4.4198,-3.4873,5.8711,31.784
-1.4404,2.2679,19.081,59.198
-10.24,10.176,-72.449,49.212
-22.918,16.038,-107.23,51.502
-30.011,12.027,-70.864,20.818
-18.623,-0.36031,51.368,-54.008
-15.331,-10.935,-2.6183,-57.957
-14.436,-14.496,3.6301,-8.43
-11.276,-19.466,10.317,-20.814
-12.963,-18.783,-6.0847,16.889
-6.5749,-15.786,17.405,9.9976
-2.2037,-14.734,11.837,39.444
-0.52841,-9.687,74.618,-36.035
-3.7769,-4.7294,34.913,16.397
